"","","楽天","35","価格.com","38","Amazon","37","SUM","","","","","","","1st","2nd","3rd","4th","5th","6th","7th","8th","9th"
"ジャパニーズ","山崎","21","9","3","3","13","6","18","2","x","x","","","0","","x","","","","","","",""
"This is test","白州","14","6","2","2","20","11","19","4","x","x","","","0","","","x","","","","","",""
"","宮城峡","98","30","31","22","87","37","89","26","△","","","","0","","","","","","","","",""
"","余市","","100","","100","72","31","231","44","","","","","0","","","","","","","","",""
"","響","12","5","10","9","31","19","33","7","x","x","","","0","","","","x","","","","",""
"","知多","7","2","8","7","5","1","10","1","x","x","3961","700","5.658571428571428","x","","","","","","","",""
"","富士山麓","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","イチローズモルト","51","17","37","23","43","24","64","21","△","","","","0","","","","","","","","",""
"","竹鶴","26","10","13","11","29","18","39","11","x","c","","","0","","","","","","x","","",""
"","ブラックニッカ","5","1","4","4","23","14","19","4","x","x","","","0","","","","","x","","","",""
"","トリスウイスキー","79","25","42","27","14","7","59","20","△","","","","0","","","","","","","","",""
"","あかし","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","フロム・ザ・バレル","38","15","9","8","76","32","55","17","x","","","","0","","","","","","","","",""
"","サントリーオールド","90","27","","100","46","26","153","31","","","","","0","","","","","","","","",""
"","ハイニッカ","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","ニッカカフェモルト・カフェグレーン","95","29","","100","","100","229","43","","","","","0","","","","","","","","",""
"","スーパーニッカ","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","サントリーローヤル","","100","66","34","","100","234","46","","","","","0","","","","","","","","",""
"","サントリースペシャルリザーブ","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"スペイサイド","ザ・マッカラン","8","3","5","5","17","10","18","2","x","x","7059","700","10.084285714285715","x","","","","","","","",""
"","ザ・グレンリベット","54","18","24","18","9","4","40","12","x","c","","","0","","","","","","x","","",""
"","グレンフィディック","19","8","11","10","40","23","41","13","x","c","","","0","","","","","","","x","",""
"","グレンファークラス","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","バルヴェニー","41","16","52","31","","100","147","29","△","","","","0","","","","","","","","",""
"","ストラスアイラ","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","クラガンモア","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","アベラワー","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","グレンマレイ","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","ベンリアック","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"ハイランド","グレンモーレンジィ","59","19","19","17","22","13","49","14","x","c","","","0","","","","","","","x","",""
"","グレンドロナック","106","31","69","37","","100","168","33","△","","","","0","","","","","","","","",""
"","シングルトン","","100","","100","","100","300","49","!","","","","0","","","","","","","","",""
"","エドラダワー","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","ダルモア","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","トマーティン","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","クライヌリッシュ","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","オーバン","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","オールドプルトニー","","100","","100","","100","300","49","","","","","0","","","","","","","","",""
"","アバフェルディ","","100","","100","80","35","235","48","","","","","0","","","","","","","","",""
"アイラ","ラフロイグ","16","7","56","33","28","17","57","19","x","c","","","0","","","","","","","","","x"
"","ボウモア","36","13","29","20","32","20","53","16","x","c","","","0","","","","","","","","x",""
"","アードベッグ","37","14","14","12","21","12","38","10","x","x","","","0","","","","","x","","","",""
"","カリラ","154","35","68","36","","100","171","35","△","","","","0","","","","","","","","",""
"","ラガヴーリン","113","32","18","16","67","29","77","24","△","","","","0","","","","","","","","",""
